Date,Close
02/01/2018 16:00:00,1.83
03/01/2018 16:00:00,1.83
04/01/2018 16:00:00,1.84
05/01/2018 16:00:00,1.88
08/01/2018 16:00:00,1.89
09/01/2018 16:00:00,1.88
10/01/2018 16:00:00,1.91
11/01/2018 16:00:00,1.89
12/01/2018 16:00:00,1.91
15/01/2018 16:00:00,1.89
16/01/2018 16:00:00,1.92
17/01/2018 16:00:00,1.91
18/01/2018 16:00:00,1.96
19/01/2018 16:00:00,1.95
22/01/2018 16:00:00,1.96
23/01/2018 16:00:00,1.96
24/01/2018 16:00:00,1.98
25/01/2018 16:00:00,1.98
29/01/2018 16:00:00,1.98
30/01/2018 16:00:00,1.95
31/01/2018 16:00:00,1.89
01/02/2018 16:00:00,1.95
02/02/2018 16:00:00,1.93
05/02/2018 16:00:00,1.87
06/02/2018 16:00:00,1.83
07/02/2018 16:00:00,1.88
08/02/2018 16:00:00,1.88
09/02/2018 16:00:00,1.87
12/02/2018 16:00:00,1.88
13/02/2018 16:00:00,1.94
14/02/2018 16:00:00,1.91
15/02/2018 16:00:00,1.92
16/02/2018 16:00:00,1.95
19/02/2018 16:00:00,1.93
20/02/2018 16:00:00,1.93
21/02/2018 16:00:00,1.92
22/02/2018 16:00:00,1.94
23/02/2018 16:00:00,1.97
26/02/2018 16:00:00,1.97
27/02/2018 16:00:00,2.02
28/02/2018 16:00:00,1.98
01/03/2018 16:00:00,1.93
02/03/2018 16:00:00,1.92
05/03/2018 16:00:00,1.94
06/03/2018 16:00:00,1.97
07/03/2018 16:00:00,1.93
08/03/2018 16:00:00,1.97
09/03/2018 16:00:00,1.96
12/03/2018 16:00:00,1.97
13/03/2018 16:00:00,1.98
14/03/2018 16:00:00,1.97
15/03/2018 16:00:00,1.95
16/03/2018 16:00:00,1.98
19/03/2018 16:00:00,1.98
20/03/2018 16:00:00,1.98
21/03/2018 16:00:00,1.94
22/03/2018 16:00:00,1.96
23/03/2018 16:00:00,1.93
26/03/2018 16:00:00,1.88
27/03/2018 16:00:00,1.91
28/03/2018 16:00:00,1.88
29/03/2018 16:00:00,1.88
03/04/2018 16:00:00,1.86
04/04/2018 16:00:00,1.91
05/04/2018 16:00:00,1.92
06/04/2018 16:00:00,1.89
09/04/2018 16:00:00,1.9
10/04/2018 16:00:00,1.93
11/04/2018 16:00:00,1.92
12/04/2018 16:00:00,1.93
13/04/2018 16:00:00,1.97
16/04/2018 16:00:00,1.97
17/04/2018 16:00:00,1.96
18/04/2018 16:00:00,1.97
19/04/2018 16:00:00,1.96
20/04/2018 16:00:00,1.95
23/04/2018 16:00:00,1.94
24/04/2018 16:00:00,1.93
26/04/2018 16:00:00,1.97
27/04/2018 16:00:00,1.96
30/04/2018 16:00:00,2
01/05/2018 16:00:00,2
02/05/2018 16:00:00,1.95
03/05/2018 16:00:00,1.94
04/05/2018 16:00:00,1.98
07/05/2018 16:00:00,1.96
08/05/2018 16:00:00,2
09/05/2018 16:00:00,2.03
10/05/2018 16:00:00,2.08
11/05/2018 16:00:00,2.07
14/05/2018 16:00:00,2.11
15/05/2018 16:00:00,2.06
16/05/2018 16:00:00,2.08
17/05/2018 16:00:00,2.09
18/05/2018 16:00:00,2.08
21/05/2018 16:00:00,2.07
22/05/2018 16:00:00,2.08
23/05/2018 16:00:00,2.07
24/05/2018 16:00:00,2.08
25/05/2018 16:00:00,2.09
28/05/2018 16:00:00,2.06
29/05/2018 16:00:00,2.08
30/05/2018 16:00:00,2.07
31/05/2018 16:00:00,2.08
01/06/2018 16:00:00,2.04
04/06/2018 16:00:00,2.05
05/06/2018 16:00:00,2.07
06/06/2018 16:00:00,2.1
07/06/2018 16:00:00,2.13
08/06/2018 16:00:00,2.13
12/06/2018 16:00:00,2.18
13/06/2018 16:00:00,2.16
14/06/2018 16:00:00,2.16
15/06/2018 16:00:00,2.18
18/06/2018 16:00:00,2.21
19/06/2018 16:00:00,2.23
20/06/2018 16:00:00,2.24
21/06/2018 16:00:00,2.21
22/06/2018 16:00:00,2.25
25/06/2018 16:00:00,2.2
26/06/2018 16:00:00,2.2
27/06/2018 16:00:00,2.21
